Ref,Val,Package,PosX,PosY,Rot,Side
"J4","Conn_01x01_Pin","pad_clearancefu",160.622700,-118.404400,90.000000,bottom
"J5","Conn_01x01_Pin","pad_clearancefu",138.807000,-118.567200,90.000000,bottom
